"","district","bodily harm","dangerous bodily harm","violent crime","murder and manslaughter","robbery","year"
"79",16054,218,89,108,0,13,2013
"80",16055,411,129,174,1,35,2013
"81",16056,281,93,124,3,25,2013
"82",16061,261,73,90,4,9,2013
"83",16062,323,111,144,3,23,2013
"84",16063,335,104,123,0,11,2013
"85",16064,427,142,207,2,51,2013
"86",16065,324,97,127,4,17,2013
"87",16066,509,117,162,1,34,2013
"88",16067,558,160,213,2,43,2013
"89",16068,301,83,103,0,13,2013
"90",16069,249,44,61,2,11,2013
"91",16070,539,186,249,0,56,2013
"92",16071,345,103,140,1,31,2013
"93",16072,267,86,106,0,17,2013
"94",16073,725,184,213,2,18,2013
"95",16074,351,78,98,2,13,2013
"96",16075,507,96,114,0,13,2013
"97",16076,377,104,128,2,17,2013
"98",16077,458,119,164,2,38,2013
"99",2000,14703,5406,8665,56,3046,2013
"100",3101,1772,750,997,10,202,2013
"101",3102,466,171,227,3,41,2013
"102",3103,577,162,255,7,73,2013
"103",3151,686,219,285,4,42,2013
"104",3152,1349,454,592,8,109,2013
"105",3153,739,242,340,5,70,2013
"106",3154,385,152,187,2,22,2013
"107",3155,540,184,238,3,39,2013
"108",3156,291,84,113,1,19,2013
"109",3157,397,152,187,5,18,2013
"110",3158,366,116,158,6,24,2013
"111",3241,7429,2719,3701,31,801,2013
"112",3251,775,231,354,8,90,2013
"113",3252,714,293,371,8,53,2013
"114",3254,1393,434,579,7,104,2013
"115",3255,291,111,136,3,17,2013
"116",3256,388,143,230,9,65,2013
"117",3257,534,189,272,3,65,2013
"118",3351,919,312,423,13,69,2013
"119",3352,744,330,449,5,92,2013
"120",3353,879,238,355,9,84,2013
"121",3354,170,63,85,3,12,2013
"122",3355,1018,331,440,3,92,2013
"123",3356,392,153,218,5,50,2013
"124",3357,848,347,472,12,82,2013
"125",3358,828,268,353,8,51,2013
"126",3359,710,231,367,6,112,2013
"127",3360,312,96,145,2,35,2013
"128",3361,544,171,260,9,53,2013
"129",3401,428,156,248,0,82,2013
"130",3402,380,153,195,0,32,2013
"131",3403,807,279,439,5,134,2013
"132",3404,1032,556,816,5,219,2013
"133",3405,617,275,369,3,72,2013
"134",3451,323,100,140,4,25,2013
"135",3452,979,390,467,3,56,2013
"136",3453,684,193,249,0,38,2013
"137",3454,1434,509,647,7,100,2013
"138",3455,523,144,189,5,30,2013
"139",3456,469,171,225,2,45,2013
"140",3457,635,193,263,3,52,2013
"141",3458,432,141,177,3,26,2013
"142",3459,902,291,455,7,118,2013
"143",3460,494,224,312,5,69,2013
"144",3461,342,132,177,3,31,2013
